Article,Expiry Date,Qty,Value,Inventory Report Date
FUR-TA-10004534,9/30/2026,2,2.57,5/31/2024
FUR-TA-10004534,8/30/2025,12,15.39,5/31/2024
FUR-TA-10004534,8/30/2027,0,0,5/31/2024
FUR-TA-10004534,6/30/2027,19,24.37,5/31/2024
FUR-TA-10004534,8/30/2027,8,10.26,5/31/2024
FUR-TA-10004534,6/30/2026,15,19.24,5/31/2024
FUR-TA-10004534,8/30/2027,12,15.39,5/31/2024
FUR-TA-10004534,9/30/2026,3,3.85,5/31/2024
FUR-TA-10004534,5/3/2024,0,0,5/31/2024
FUR-TA-10004534,5/3/2027,0,0,5/31/2024
FUR-TA-10004534,5/3/2025,0,0,5/31/2024
FUR-TA-10004534,10/30/2027,0,0,5/31/2024
FUR-TA-10004534,5/6/2025,0,0,5/31/2024
FUR-TA-10004534,5/7/2025,0,0,5/31/2024
FUR-TA-10004534,5/7/2025,0,0,5/31/2024
FUR-TA-10004534,5/30/2024,0,0,5/31/2024
FUR-TA-10004534,5/30/2025,0,0,5/31/2024
FUR-TA-10004534,5/30/2027,0,0,5/31/2024
FUR-TA-10004534,5/17/2026,0,0,5/31/2024
FUR-TA-10004534,6/30/2027,0,0,5/31/2024
FUR-TA-10004534,5/18/2024,0,0,5/31/2024
FUR-TA-10004534,5/23/2026,0,0,5/31/2024
FUR-TA-10004534,5/24/2026,0,0,5/31/2024
FUR-TA-10004534,5/30/2025,0,0,5/31/2024
FUR-TA-10004534,5/25/2024,0,0,5/31/2024
FUR-TA-10004534,5/25/2027,0,0,5/31/2024
FUR-TA-10004534,5/25/2027,0,0,5/31/2024
FUR-TA-10004534,5/28/2024,0,0,5/31/2024
FUR-TA-10004534,5/28/2027,0,0,5/31/2024
FUR-TA-10004534,5/30/2027,0,0,5/31/2024
FUR-TA-10004534,6/1/2027,0,0,5/31/2024
FUR-TA-10004534,6/30/2025,0,0,5/31/2024
FUR-TA-10004534,6/5/2025,0,0,5/31/2024
FUR-TA-10004534,6/6/2027,0,0,5/31/2024
FUR-TA-10004534,6/7/2025,0,0,5/31/2024
FUR-TA-10004534,6/13/2026,0,0,5/31/2024
FUR-TA-10004534,6/13/2024,0,0,5/31/2024
FUR-TA-10004534,6/13/2026,0,0,5/31/2024
FUR-TA-10004534,6/15/2027,0,0,5/31/2024
FUR-TA-10004534,6/15/2024,0,0,5/31/2024
OFF-BI-10003274,3/30/2024,1,2.36,5/31/2024
OFF-BI-10003274,2/28/2024,527,"1,245.69",5/31/2024
OFF-BI-10003274,2/28/2025,"1,431","3,382.52",5/31/2024
OFF-BI-10003274,2/28/2027,72,170.19,5/31/2024
OFF-BI-10003274,2/28/2026,6,14.18,5/31/2024
OFF-BI-10003274,2/28/2025,12,28.36,5/31/2024
OFF-BI-10003274,2/28/2027,72,170.19,5/31/2024
OFF-BI-10003274,2/28/2026,48,113.46,5/31/2024
OFF-BI-10003274,6/30/2026,1,2.36,5/31/2024
OFF-BI-10003274,6/30/2026,6,14.18,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2026,0,0,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2026,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2026,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/2/2026,0,0,5/31/2024
OFF-BI-10003274,5/3/2026,0,0,5/31/2024
OFF-BI-10003274,5/3/2027,0,0,5/31/2024
OFF-BI-10003274,5/3/2026,0,0,5/31/2024
OFF-BI-10003274,5/3/2026,0,0,5/31/2024
OFF-BI-10003274,5/3/2025,0,0,5/31/2024
OFF-BI-10003274,12/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/6/2026,0,0,5/31/2024
OFF-BI-10003274,5/7/2027,0,0,5/31/2024
OFF-BI-10003274,5/7/2024,0,0,5/31/2024
OFF-BI-10003274,5/7/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/8/2026,0,0,5/31/2024
OFF-BI-10003274,5/8/2024,0,0,5/31/2024
OFF-BI-10003274,5/9/2027,0,0,5/31/2024
OFF-BI-10003274,5/9/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/13/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2026,0,0,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2026,0,0,5/31/2024
OFF-BI-10003274,5/30/2026,0,0,5/31/2024
OFF-BI-10003274,6/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/17/2025,0,0,5/31/2024
OFF-BI-10003274,5/17/2026,0,0,5/31/2024
OFF-BI-10003274,5/17/2027,0,0,5/31/2024
OFF-BI-10003274,5/17/2025,0,0,5/31/2024
OFF-BI-10003274,5/18/2026,0,0,5/31/2024
OFF-BI-10003274,5/18/2025,0,0,5/31/2024
OFF-BI-10003274,5/18/2026,0,0,5/31/2024
OFF-BI-10003274,5/18/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2027,0,0,5/31/2024
OFF-BI-10003274,5/20/2026,0,0,5/31/2024
OFF-BI-10003274,5/21/2026,0,0,5/31/2024
OFF-BI-10003274,5/21/2027,0,0,5/31/2024
OFF-BI-10003274,5/22/2026,0,0,5/31/2024
OFF-BI-10003274,6/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/24/2026,0,0,5/31/2024
OFF-BI-10003274,5/24/2024,0,0,5/31/2024
OFF-BI-10003274,5/24/2027,0,0,5/31/2024
OFF-BI-10003274,5/24/2026,0,0,5/31/2024
OFF-BI-10003274,7/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/25/2026,0,0,5/31/2024
OFF-BI-10003274,6/30/2024,0,0,5/31/2024
OFF-BI-10003274,6/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/27/2024,0,0,5/31/2024
OFF-BI-10003274,6/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/29/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,5/30/2025,0,0,5/31/2024
OFF-BI-10003274,5/30/2024,0,0,5/31/2024
OFF-BI-10003274,6/6/2027,0,0,5/31/2024
OFF-BI-10003274,6/7/2025,0,0,5/31/2024
OFF-BI-10003274,6/30/2027,0,0,5/31/2024
OFF-BI-10003274,6/8/2026,0,0,5/31/2024
OFF-BI-10003274,6/30/2024,0,0,5/31/2024
OFF-BI-10003274,6/30/2027,0,0,5/31/2024
OFF-BI-10003274,6/13/2026,0,0,5/31/2024
OFF-BI-10003274,6/13/2024,0,0,5/31/2024
OFF-BI-10003274,6/13/2025,0,0,5/31/2024
OFF-BI-10003274,6/13/2026,0,0,5/31/2024
OFF-BI-10003274,6/14/2027,0,0,5/31/2024
OFF-BI-10003274,6/14/2027,0,0,5/31/2024
OFF-BI-10003274,6/14/2027,0,0,5/31/2024
OFF-BI-10003274,6/14/2025,0,0,5/31/2024
OFF-BI-10003274,6/15/2026,0,0,5/31/2024
OFF-BI-10003274,6/30/2024,0,0,5/31/2024
OFF-BI-10003274,6/15/2024,0,0,5/31/2024
OFF-BI-10003274,6/15/2025,0,0,5/31/2024
OFF-ST-10002974,2/28/2026,2,3.86,5/31/2024
OFF-ST-10002974,8/30/2025,0,0,5/31/2024
OFF-ST-10002974,5/2/2027,0,0,5/31/2024
OFF-ST-10002974,5/2/2026,0,0,5/31/2024
OFF-ST-10002974,5/3/2025,0,0,5/31/2024
OFF-ST-10002974,5/3/2025,0,0,5/31/2024
OFF-ST-10002974,5/3/2026,0,0,5/31/2024
OFF-ST-10002974,5/3/2026,0,0,5/31/2024
OFF-ST-10002974,5/3/2025,0,0,5/31/2024
OFF-ST-10002974,5/3/2026,0,0,5/31/2024
OFF-ST-10002974,5/4/2027,0,0,5/31/2024
OFF-ST-10002974,5/30/2025,0,0,5/31/2024
OFF-ST-10002974,5/6/2027,0,0,5/31/2024
OFF-ST-10002974,5/6/2025,0,0,5/31/2024
OFF-ST-10002974,5/7/2027,0,0,5/31/2024
OFF-ST-10002974,5/7/2025,0,0,5/31/2024
OFF-ST-10002974,5/7/2024,0,0,5/31/2024
OFF-ST-10002974,5/7/2027,0,0,5/31/2024
OFF-ST-10002974,5/7/2026,0,0,5/31/2024
OFF-ST-10002974,5/8/2025,0,0,5/31/2024
OFF-ST-10002974,5/8/2027,0,0,5/31/2024
OFF-ST-10002974,5/8/2026,0,0,5/31/2024
OFF-ST-10002974,5/9/2025,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,5/30/2026,0,0,5/31/2024
OFF-ST-10002974,6/30/2027,0,0,5/31/2024
OFF-ST-10002974,8/30/2026,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,5/17/2025,0,0,5/31/2024
OFF-ST-10002974,5/17/2027,0,0,5/31/2024
OFF-ST-10002974,5/17/2024,0,0,5/31/2024
OFF-ST-10002974,6/30/2025,0,0,5/31/2024
OFF-ST-10002974,5/20/2026,0,0,5/31/2024
OFF-ST-10002974,5/21/2027,0,0,5/31/2024
OFF-ST-10002974,5/21/2025,0,0,5/31/2024
OFF-ST-10002974,5/21/2025,0,0,5/31/2024
OFF-ST-10002974,5/30/2025,0,0,5/31/2024
OFF-ST-10002974,5/22/2025,0,0,5/31/2024
OFF-ST-10002974,5/22/2025,0,0,5/31/2024
OFF-ST-10002974,5/22/2027,0,0,5/31/2024
OFF-ST-10002974,5/23/2024,0,0,5/31/2024
OFF-ST-10002974,5/24/2027,0,0,5/31/2024
OFF-ST-10002974,5/24/2026,0,0,5/31/2024
OFF-ST-10002974,5/24/2025,0,0,5/31/2024
OFF-ST-10002974,5/24/2024,0,0,5/31/2024
OFF-ST-10002974,5/25/2026,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,5/25/2026,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,5/27/2024,0,0,5/31/2024
OFF-ST-10002974,5/28/2025,0,0,5/31/2024
OFF-ST-10002974,5/28/2027,0,0,5/31/2024
OFF-ST-10002974,5/28/2027,0,0,5/31/2024
OFF-ST-10002974,5/31/2026,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,6/3/2024,0,0,5/31/2024
OFF-ST-10002974,6/3/2025,0,0,5/31/2024
OFF-ST-10002974,6/3/2025,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,7/30/2027,0,0,5/31/2024
OFF-ST-10002974,6/5/2027,0,0,5/31/2024
OFF-ST-10002974,6/6/2026,0,0,5/31/2024
OFF-ST-10002974,6/7/2027,0,0,5/31/2024
OFF-ST-10002974,6/30/2026,0,0,5/31/2024
OFF-ST-10002974,6/30/2024,0,0,5/31/2024
OFF-ST-10002974,6/8/2026,0,0,5/31/2024
OFF-ST-10002974,6/8/2024,0,0,5/31/2024
OFF-ST-10002974,6/30/2025,0,0,5/31/2024
OFF-ST-10002974,6/13/2024,0,0,5/31/2024
OFF-ST-10002974,6/14/2026,0,0,5/31/2024
OFF-ST-10002974,6/14/2025,0,0,5/31/2024
OFF-ST-10002974,6/15/2026,0,0,5/31/2024
OFF-ST-10002974,6/15/2027,0,0,5/31/2024
OFF-ST-10002974,6/18/2025,0,0,5/31/2024
FUR-FU-10003773,6/6/2025,13,32.44,5/31/2024
FUR-FU-10003773,12/12/2025,3,7.49,5/31/2024
FUR-FU-10003773,8/30/2024,1,2.5,5/31/2024
FUR-FU-10003773,6/30/2024,33,82.35,5/31/2024
FUR-FU-10003773,5/3/2025,0,0,5/31/2024
FUR-FU-10003773,5/3/2026,0,0,5/31/2024
FUR-FU-10003773,5/9/2025,0,0,5/31/2024
FUR-FU-10003773,5/13/2027,0,0,5/31/2024
FUR-FU-10003773,6/30/2027,0,0,5/31/2024
FUR-FU-10003773,5/18/2024,0,0,5/31/2024
FUR-FU-10003773,5/20/2024,0,0,5/31/2024
FUR-FU-10003773,5/21/2026,0,0,5/31/2024
FUR-FU-10003773,5/24/2024,0,0,5/31/2024
FUR-FU-10003773,5/25/2024,0,0,5/31/2024
FUR-FU-10003773,8/30/2026,0,0,5/31/2024
FUR-FU-10003773,5/25/2027,0,0,5/31/2024
FUR-FU-10003773,5/28/2027,0,0,5/31/2024
FUR-FU-10003773,5/29/2026,0,0,5/31/2024
FUR-FU-10003773,6/8/2025,0,0,5/31/2024
FUR-FU-10003773,6/13/2027,0,0,5/31/2024
FUR-FU-10003773,6/13/2027,0,0,5/31/2024
FUR-FU-10003773,6/13/2024,0,0,5/31/2024
FUR-FU-10003773,8/30/2027,0,0,5/31/2024
FUR-FU-10003773,6/15/2027,0,0,5/31/2024
FUR-FU-10003773,6/15/2027,0,0,5/31/2024
TEC-PH-10002293,2/28/2027,6,12.58,5/31/2024
TEC-PH-10002293,2/28/2024,1,2.1,5/31/2024
TEC-PH-10002293,5/30/2027,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/30/2025,0,0,5/31/2024
TEC-PH-10002293,5/30/2027,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2027,0,0,5/31/2024
TEC-PH-10002293,5/30/2025,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/2/2027,0,0,5/31/2024
TEC-PH-10002293,5/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/3/2025,0,0,5/31/2024
TEC-PH-10002293,5/3/2027,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,6/30/2027,0,0,5/31/2024
TEC-PH-10002293,11/30/2027,0,0,5/31/2024
TEC-PH-10002293,5/6/2027,0,0,5/31/2024
TEC-PH-10002293,5/7/2027,0,0,5/31/2024
TEC-PH-10002293,5/8/2024,0,0,5/31/2024
TEC-PH-10002293,5/8/2024,0,0,5/31/2024
TEC-PH-10002293,5/9/2026,0,0,5/31/2024
TEC-PH-10002293,5/9/2027,0,0,5/31/2024
TEC-PH-10002293,5/9/2025,0,0,5/31/2024
TEC-PH-10002293,5/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2025,0,0,5/31/2024
TEC-PH-10002293,6/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/13/2024,0,0,5/31/2024
TEC-PH-10002293,6/30/2026,0,0,5/31/2024
TEC-PH-10002293,9/30/2024,0,0,5/31/2024
TEC-PH-10002293,5/30/2025,0,0,5/31/2024
TEC-PH-10002293,5/17/2025,0,0,5/31/2024
TEC-PH-10002293,5/17/2025,0,0,5/31/2024
TEC-PH-10002293,5/17/2024,0,0,5/31/2024
TEC-PH-10002293,5/17/2025,0,0,5/31/2024
TEC-PH-10002293,5/17/2026,0,0,5/31/2024
TEC-PH-10002293,6/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/18/2026,0,0,5/31/2024
TEC-PH-10002293,5/18/2024,0,0,5/31/2024
TEC-PH-10002293,5/22/2026,0,0,5/31/2024
TEC-PH-10002293,5/22/2024,0,0,5/31/2024
TEC-PH-10002293,5/22/2025,0,0,5/31/2024
TEC-PH-10002293,5/30/2027,0,0,5/31/2024
TEC-PH-10002293,5/24/2027,0,0,5/31/2024
TEC-PH-10002293,5/24/2027,0,0,5/31/2024
TEC-PH-10002293,5/24/2026,0,0,5/31/2024
TEC-PH-10002293,5/25/2027,0,0,5/31/2024
TEC-PH-10002293,5/25/2025,0,0,5/31/2024
TEC-PH-10002293,6/30/2026,0,0,5/31/2024
TEC-PH-10002293,5/25/2024,0,0,5/31/2024
TEC-PH-10002293,5/27/2025,0,0,5/31/2024
TEC-PH-10002293,5/27/2024,0,0,5/31/2024
TEC-PH-10002293,5/28/2026,0,0,5/31/2024
TEC-PH-10002293,5/29/2025,0,0,5/31/2024
TEC-PH-10002293,5/29/2025,0,0,5/31/2024
TEC-PH-10002293,5/30/2027,0,0,5/31/2024
TEC-PH-10002293,5/30/2025,0,0,5/31/2024
TEC-PH-10002293,6/3/2024,0,0,5/31/2024
TEC-PH-10002293,6/3/2024,0,0,5/31/2024
TEC-PH-10002293,6/5/2025,0,0,5/31/2024
TEC-PH-10002293,6/7/2026,0,0,5/31/2024
TEC-PH-10002293,6/11/2025,0,0,5/31/2024
TEC-PH-10002293,6/13/2027,0,0,5/31/2024
TEC-PH-10002293,6/30/2027,0,0,5/31/2024
TEC-PH-10002293,6/30/2025,0,0,5/31/2024
TEC-PH-10002293,6/13/2026,0,0,5/31/2024
TEC-PH-10002293,6/14/2024,0,0,5/31/2024
TEC-PH-10002293,6/14/2026,0,0,5/31/2024
TEC-PH-10002293,6/30/2025,0,0,5/31/2024
OFF-PA-10002377,10/30/2026,66,154.99,5/31/2024
OFF-PA-10002377,10/30/2026,5,11.74,5/31/2024
OFF-PA-10002377,10/30/2024,6,14.09,5/31/2024
OFF-PA-10002377,10/30/2024,1,2.35,5/31/2024
OFF-PA-10002377,10/30/2025,2,4.7,5/31/2024
OFF-PA-10002377,6/30/2025,8,18.79,5/31/2024
OFF-PA-10002377,6/30/2025,14,32.88,5/31/2024
OFF-PA-10002377,5/1/2026,0,0,5/31/2024
OFF-PA-10002377,5/3/2025,0,0,5/31/2024
OFF-PA-10002377,5/3/2027,0,0,5/31/2024
OFF-PA-10002377,5/3/2027,0,0,5/31/2024
OFF-PA-10002377,5/4/2026,0,0,5/31/2024
OFF-PA-10002377,5/30/2025,0,0,5/31/2024
OFF-PA-10002377,5/30/2025,0,0,5/31/2024
OFF-PA-10002377,6/30/2027,0,0,5/31/2024
OFF-PA-10002377,5/6/2027,0,0,5/31/2024
OFF-PA-10002377,5/6/2024,0,0,5/31/2024
OFF-PA-10002377,5/6/2027,0,0,5/31/2024
OFF-PA-10002377,5/7/2027,0,0,5/31/2024
OFF-PA-10002377,5/7/2024,0,0,5/31/2024
OFF-PA-10002377,5/7/2025,0,0,5/31/2024
OFF-PA-10002377,5/8/2027,0,0,5/31/2024
OFF-PA-10002377,5/8/2025,0,0,5/31/2024
OFF-PA-10002377,5/8/2024,0,0,5/31/2024
OFF-PA-10002377,7/30/2024,0,0,5/31/2024
OFF-PA-10002377,5/9/2025,0,0,5/31/2024
OFF-PA-10002377,5/10/2025,0,0,5/31/2024
OFF-PA-10002377,6/30/2024,0,0,5/31/2024
OFF-PA-10002377,5/11/2025,0,0,5/31/2024
OFF-PA-10002377,6/30/2025,0,0,5/31/2024
OFF-PA-10002377,5/30/2027,0,0,5/31/2024
OFF-PA-10002377,9/30/2026,0,0,5/31/2024
OFF-PA-10002377,6/30/2024,0,0,5/31/2024
OFF-PA-10002377,5/16/2025,0,0,5/31/2024
OFF-PA-10002377,6/30/2025,0,0,5/31/2024
OFF-PA-10002377,6/30/2027,0,0,5/31/2024
OFF-PA-10002377,5/17/2027,0,0,5/31/2024
OFF-PA-10002377,5/17/2024,0,0,5/31/2024
OFF-PA-10002377,6/30/2026,0,0,5/31/2024
OFF-PA-10002377,6/30/2027,0,0,5/31/2024
OFF-PA-10002377,5/20/2027,0,0,5/31/2024
OFF-PA-10002377,5/20/2026,0,0,5/31/2024
OFF-PA-10002377,5/21/2025,0,0,5/31/2024
OFF-PA-10002377,5/21/2024,0,0,5/31/2024
OFF-PA-10002377,5/21/2027,0,0,5/31/2024
OFF-PA-10002377,6/30/2026,0,0,5/31/2024
OFF-PA-10002377,5/30/2024,0,0,5/31/2024
OFF-PA-10002377,5/22/2026,0,0,5/31/2024
OFF-PA-10002377,5/22/2026,0,0,5/31/2024
OFF-PA-10002377,5/22/2025,0,0,5/31/2024
OFF-PA-10002377,5/22/2024,0,0,5/31/2024
OFF-PA-10002377,6/30/2024,0,0,5/31/2024
OFF-PA-10002377,5/24/2024,0,0,5/31/2024
OFF-PA-10002377,5/24/2027,0,0,5/31/2024
OFF-PA-10002377,5/24/2026,0,0,5/31/2024
OFF-PA-10002377,6/30/2024,0,0,5/31/2024
OFF-PA-10002377,5/25/2027,0,0,5/31/2024
OFF-PA-10002377,5/25/2026,0,0,5/31/2024
OFF-PA-10002377,6/30/2024,0,0,5/31/2024
OFF-PA-10002377,6/30/2025,0,0,5/31/2024
OFF-PA-10002377,5/28/2025,0,0,5/31/2024
OFF-PA-10002377,5/28/2027,0,0,5/31/2024
OFF-PA-10002377,6/30/2026,0,0,5/31/2024
OFF-PA-10002377,7/30/2027,0,0,5/31/2024
OFF-PA-10002377,6/30/2026,0,0,5/31/2024
OFF-PA-10002377,5/29/2025,0,0,5/31/2024
OFF-PA-10002377,5/30/2025,0,0,5/31/2024
OFF-PA-10002377,5/30/2026,0,0,5/31/2024
OFF-PA-10002377,5/30/2024,0,0,5/31/2024
OFF-PA-10002377,5/30/2026,0,0,5/31/2024
OFF-PA-10002377,5/30/2026,0,0,5/31/2024
OFF-PA-10002377,6/30/2026,0,0,5/31/2024
OFF-PA-10002377,5/31/2024,0,0,5/31/2024
OFF-PA-10002377,6/30/2025,0,0,5/31/2024
OFF-PA-10002377,6/1/2026,0,0,5/31/2024
OFF-PA-10002377,6/3/2024,0,0,5/31/2024
OFF-PA-10002377,6/3/2025,0,0,5/31/2024
OFF-PA-10002377,6/3/2027,0,0,5/31/2024
OFF-PA-10002377,6/30/2027,0,0,5/31/2024
OFF-PA-10002377,6/30/2027,0,0,5/31/2024
OFF-PA-10002377,6/30/2027,0,0,5/31/2024
OFF-PA-10002377,6/7/2024,0,0,5/31/2024
OFF-PA-10002377,6/8/2027,0,0,5/31/2024
OFF-PA-10002377,6/8/2025,0,0,5/31/2024
OFF-PA-10002377,6/13/2026,0,0,5/31/2024
OFF-PA-10002377,6/13/2025,0,0,5/31/2024
OFF-PA-10002377,6/13/2025,0,0,5/31/2024
OFF-PA-10002377,6/13/2027,0,0,5/31/2024
OFF-PA-10002377,6/13/2026,0,0,5/31/2024
OFF-PA-10002377,6/14/2026,0,0,5/31/2024
OFF-PA-10002377,6/14/2026,0,0,5/31/2024
OFF-PA-10002377,6/30/2024,0,0,5/31/2024
OFF-PA-10002377,6/15/2025,0,0,5/31/2024
OFF-PA-10002377,6/15/2026,0,0,5/31/2024
OFF-PA-10002377,6/15/2024,0,0,5/31/2024
OFF-PA-10002377,6/15/2025,0,0,5/31/2024
OFF-PA-10002377,6/15/2026,0,0,5/31/2024
OFF-PA-10002377,6/15/2025,0,0,5/31/2024
OFF-PA-10002377,6/15/2025,0,0,5/31/2024
OFF-PA-10002377,6/18/2024,0,0,5/31/2024
OFF-PA-10002377,3/30/2027,0,0,5/31/2024
OFF-FA-10002780,10/30/2024,18,36.85,5/31/2024
OFF-FA-10002780,6/30/2024,1,2.05,5/31/2024
OFF-FA-10002780,6/30/2024,23,47.08,5/31/2024
OFF-FA-10002780,6/30/2025,1,2.05,5/31/2024
OFF-FA-10002780,6/30/2026,4,8.19,5/31/2024
OFF-FA-10002780,6/30/2026,1,2.05,5/31/2024
OFF-FA-10002780,9/30/2027,5,10.24,5/31/2024
OFF-FA-10002780,5/3/2027,0,0,5/31/2024
OFF-FA-10002780,5/7/2025,0,0,5/31/2024
OFF-FA-10002780,5/7/2025,0,0,5/31/2024
OFF-FA-10002780,5/8/2026,0,0,5/31/2024
OFF-FA-10002780,5/8/2026,0,0,5/31/2024
OFF-FA-10002780,5/8/2027,0,0,5/31/2024
OFF-FA-10002780,5/8/2027,0,0,5/31/2024
OFF-FA-10002780,5/9/2027,0,0,5/31/2024
OFF-FA-10002780,6/30/2024,0,0,5/31/2024
OFF-FA-10002780,5/13/2025,0,0,5/31/2024
OFF-FA-10002780,5/30/2025,0,0,5/31/2024
OFF-FA-10002780,5/17/2025,0,0,5/31/2024
OFF-FA-10002780,5/30/2025,0,0,5/31/2024
OFF-FA-10002780,5/22/2026,0,0,5/31/2024
OFF-FA-10002780,5/22/2026,0,0,5/31/2024
OFF-FA-10002780,5/22/2025,0,0,5/31/2024
OFF-FA-10002780,6/30/2026,0,0,5/31/2024
OFF-FA-10002780,5/22/2024,0,0,5/31/2024
OFF-FA-10002780,5/23/2026,0,0,5/31/2024
OFF-FA-10002780,5/24/2027,0,0,5/31/2024
OFF-FA-10002780,6/30/2024,0,0,5/31/2024
OFF-FA-10002780,5/30/2027,0,0,5/31/2024
OFF-FA-10002780,5/25/2026,0,0,5/31/2024
OFF-FA-10002780,5/25/2027,0,0,5/31/2024
OFF-FA-10002780,5/27/2026,0,0,5/31/2024
OFF-FA-10002780,5/28/2026,0,0,5/31/2024
OFF-FA-10002780,5/29/2026,0,0,5/31/2024
OFF-FA-10002780,5/29/2024,0,0,5/31/2024
OFF-FA-10002780,5/30/2027,0,0,5/31/2024
OFF-FA-10002780,5/30/2024,0,0,5/31/2024
OFF-FA-10002780,5/30/2026,0,0,5/31/2024
OFF-FA-10002780,6/30/2024,0,0,5/31/2024
OFF-FA-10002780,6/30/2024,0,0,5/31/2024
OFF-FA-10002780,6/3/2027,0,0,5/31/2024
OFF-FA-10002780,6/4/2026,0,0,5/31/2024
OFF-FA-10002780,6/5/2026,0,0,5/31/2024
OFF-FA-10002780,6/5/2027,0,0,5/31/2024
OFF-FA-10002780,6/30/2025,0,0,5/31/2024
OFF-FA-10002780,6/6/2025,0,0,5/31/2024
OFF-FA-10002780,6/8/2026,0,0,5/31/2024
OFF-FA-10002780,6/8/2024,0,0,5/31/2024
OFF-FA-10002780,6/8/2027,0,0,5/31/2024
OFF-FA-10002780,6/8/2025,0,0,5/31/2024
OFF-FA-10002780,9/30/2024,0,0,5/31/2024
OFF-FA-10002780,6/30/2024,0,0,5/31/2024
OFF-FA-10002780,6/10/2025,0,0,5/31/2024
OFF-FA-10002780,9/30/2026,0,0,5/31/2024
OFF-FA-10002780,6/13/2026,0,0,5/31/2024
